ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-12 12:12:47.021235, init, 
2013-09-12 12:12:47.086409, lstn_init,  1 
2013-09-12 12:12:59.085927, lstn_init,  1 
2013-09-12 12:13:11.086017, lstn_init,  1 
2013-09-12 12:14:17.335492, slv, 002215fffe2eecc9(unknown)/01,  0.000265487,  10.591021953, -10.590734875,  10.591286854, 0, -54, D
2013-09-12 12:14:17.898754, slv, 002215fffe2eecc9(unknown)/01,  0.000265553,  10.591021953, -10.590762141,  10.591286854, 0, -55, D
2013-09-12 12:14:17.946455, slv, 002215fffe2eecc9(unknown)/01,  0.000265553,  10.590999498, -10.590762141,  10.591265051, 0, -55, S
2013-09-12 12:14:18.898832, slv, 002215fffe2eecc9(unknown)/01,  0.000265582,  10.590999498, -10.590720811,  10.591265051, 0, -56, D
2013-09-12 12:14:18.946404, slv, 002215fffe2eecc9(unknown)/01,  0.000265582,  10.590914468, -10.590720811,  10.591180050, 0, -56, S
2013-09-12 12:14:19.523326, slv, 002215fffe2eecc9(unknown)/01,  0.000265362,  10.590914468, -10.590711833,  10.591180050, 0, -57, D
2013-09-12 12:14:19.946588, slv, 002215fffe2eecc9(unknown)/01,  0.000265362,  10.591021421, -10.590711833,  10.591286783, 0, -57, S
2013-09-12 12:14:20.946498, slv, 002215fffe2eecc9(unknown)/01,  0.000265362,  10.590948991, -10.590711833,  10.591214353, 0, -57, S
2013-09-12 12:14:21.149187, slv, 002215fffe2eecc9(unknown)/01,  0.000265220,  10.590948991, -10.590653880,  10.591214353, 0, -58, D
2013-09-12 12:14:21.946500, slv, 002215fffe2eecc9(unknown)/01,  0.000265220,  10.590996223, -10.590653880,  10.591261443, 0, -58, S
2013-09-12 12:14:21.961619, slv, 002215fffe2eecc9(unknown)/01,  0.000265852,  10.590996223, -10.590611609,  10.591261443, 0, -59, D
2013-09-12 12:14:22.148157, slv, 002215fffe2eecc9(unknown)/01,  0.000266592,  10.590996223, -10.590670174,  10.591261443, 0, -60, D
2013-09-12 12:14:22.946462, slv, 002215fffe2eecc9(unknown)/01,  0.000266592,  10.590908318, -10.590670174,  10.591174910, 0, -60, S
2013-09-12 12:14:23.586539, slv, 002215fffe2eecc9(unknown)/01,  0.000267007,  10.590908318, -10.590598231,  10.591174910, 0, -61, D
2013-09-12 12:14:23.835842, slv, 002215fffe2eecc9(unknown)/01,  0.000266954,  10.590908318, -10.590696421,  10.591174910, 0, -62, D
2013-09-12 12:14:23.946505, slv, 002215fffe2eecc9(unknown)/01,  0.000266954,  10.590943486, -10.590696421,  10.591210440, 0, -62, S
2013-09-12 12:14:24.946437, slv, 002215fffe2eecc9(unknown)/01,  0.000266954,  10.590873525, -10.590696421,  10.591140479, 0, -62, S
2013-09-12 12:14:25.274043, slv, 002215fffe2eecc9(unknown)/01,  0.000266528,  10.590873525, -10.590658234,  10.591140479, 0, -63, D
2013-09-12 12:14:25.946472, slv, 002215fffe2eecc9(unknown)/01,  0.000266528,  10.590908677, -10.590658234,  10.591175205, 0, -63, S
2013-09-12 12:14:26.023161, slv, 002215fffe2eecc9(unknown)/01,  0.000266326,  10.590908677, -10.590642797,  10.591175205, 0, -64, D
2013-09-12 12:14:26.086397, slv, 002215fffe2eecc9(unknown)/01,  0.000266267,  10.590908677, -10.590657239,  10.591175205, 0, -65, D
2013-09-12 12:14:26.946374, slv, 002215fffe2eecc9(unknown)/01,  0.000266267,  10.590826156, -10.590657239,  10.591092423, 0, -65, S
2013-09-12 12:14:27.946256, slv, 002215fffe2eecc9(unknown)/01,  0.000266267,  10.590826460, -10.590657239,  10.591092727, 0, -65, S
2013-09-12 12:14:27.960610, slv, 002215fffe2eecc9(unknown)/01,  0.000265939,  10.590826460, -10.590629397,  10.591092727, 0, -66, D
2013-09-12 12:14:28.946359, slv, 002215fffe2eecc9(unknown)/01,  0.000265939,  10.590809429, -10.590629397,  10.591075368, 0, -66, S
2013-09-12 12:14:29.648886, slv, 002215fffe2eecc9(unknown)/01,  0.000265762,  10.590809429, -10.590519836,  10.591075368, 0, -67, D
2013-09-12 12:14:29.946413, slv, 002215fffe2eecc9(unknown)/01,  0.000265762,  10.590840764, -10.590519836,  10.591106526, 0, -67, S
2013-09-12 12:14:30.211588, slv, 002215fffe2eecc9(unknown)/01,  0.000266005,  10.590840764, -10.590536638,  10.591106526, 0, -68, D
2013-09-12 12:14:30.649160, slv, 002215fffe2eecc9(unknown)/01,  0.000266350,  10.590840764, -10.590523781,  10.591106526, 0, -69, D
2013-09-12 12:14:30.946346, slv, 002215fffe2eecc9(unknown)/01,  0.000266350,  10.590791730, -10.590523781,  10.591058080, 0, -69, S
2013-09-12 12:14:31.086378, slv, 002215fffe2eecc9(unknown)/01,  0.000266565,  10.590791730, -10.590520152,  10.591058080, 0, -70, D
2013-09-12 12:14:31.946368, slv, 002215fffe2eecc9(unknown)/01,  0.000266565,  10.590832947, -10.590520152,  10.591099512, 0, -70, S
2013-09-12 12:14:32.649140, slv, 002215fffe2eecc9(unknown)/01,  0.000267082,  10.590832947, -10.590438433,  10.591099512, 0, -71, D
2013-09-12 12:14:32.946269, slv, 002215fffe2eecc9(unknown)/01,  0.000267082,  10.590722786, -10.590438433,  10.590989868, 0, -71, S
2013-09-12 12:14:33.946296, slv, 002215fffe2eecc9(unknown)/01,  0.000267082,  10.590818232, -10.590438433,  10.591085314, 0, -71, S
2013-09-12 12:14:34.023422, slv, 002215fffe2eecc9(unknown)/01,  0.000267983,  10.590818232, -10.590446982,  10.591085314, 0, -72, D
2013-09-12 12:14:34.946259, slv, 002215fffe2eecc9(unknown)/01,  0.000267983,  10.590697747, -10.590446982,  10.590965730, 0, -72, S
2013-09-12 12:14:35.946317, slv, 002215fffe2eecc9(unknown)/01,  0.000267983,  10.590737184, -10.590446982,  10.591005167, 0, -72, S
2013-09-12 12:14:35.960648, slv, 002215fffe2eecc9(unknown)/01,  0.000268533,  10.590737184, -10.590430368,  10.591005167, 0, -73, D
2013-09-12 12:14:36.211541, slv, 002215fffe2eecc9(unknown)/01,  0.000268575,  10.590737184, -10.590494907,  10.591005167, 0, -74, D
2013-09-12 12:14:36.946233, slv, 002215fffe2eecc9(unknown)/01,  0.000268575,  10.590711760, -10.590494907,  10.590980335, 0, -74, S
2013-09-12 12:14:37.898736, slv, 002215fffe2eecc9(unknown)/01,  0.000268674,  10.590711760, -10.590390663,  10.590980335, 0, -75, D
